,wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,onset
0,0112172_neurosketch,30,2,bench,320,0,-1,0,5,16,0
1,0112172_neurosketch,30,2,bench,320,1,-1,0,5,16,0
2,0112172_neurosketch,30,2,bench,320,2,-1,0,5,16,0
3,0112172_neurosketch,30,2,bench,320,3,-1,0,5,16,0
4,0112172_neurosketch,30,2,bench,320,4,-1,0,5,16,0
5,0112172_neurosketch,30,2,bench,320,5,-1,0,5,16,0
6,0112172_neurosketch,30,2,bench,320,6,-1,0,5,16,0
7,0112172_neurosketch,30,2,bench,320,7,-1,0,5,16,0
8,0112172_neurosketch,30,2,bench,320,8,0,12002.314999999944,5,16,1
9,0112172_neurosketch,30,2,bench,320,9,0,12002.314999999944,5,16,0
10,0112172_neurosketch,30,2,bench,320,10,0,12002.314999999944,5,16,0
11,0112172_neurosketch,30,2,bench,320,11,0,12002.314999999944,5,16,0
12,0112172_neurosketch,30,2,bench,320,12,0,12002.314999999944,5,16,0
13,0112172_neurosketch,30,2,bench,320,13,0,12002.314999999944,5,16,0
14,0112172_neurosketch,30,2,bench,320,14,0,12002.314999999944,5,16,0
15,0112172_neurosketch,30,2,bench,320,15,0,12002.314999999944,5,16,0
16,0112172_neurosketch,30,2,bench,320,16,0,12002.314999999944,5,16,0
17,0112172_neurosketch,30,2,bench,320,17,0,12002.314999999944,5,16,0
18,0112172_neurosketch,30,2,bench,320,18,0,12002.314999999944,5,16,0
19,0112172_neurosketch,30,2,bench,320,19,0,12002.314999999944,5,16,0
20,0112172_neurosketch,30,2,bench,320,20,0,12002.314999999944,5,16,0
21,0112172_neurosketch,30,2,bench,320,21,0,12002.314999999944,5,16,0
22,0112172_neurosketch,30,2,bench,320,22,0,12002.314999999944,5,16,0
23,0112172_neurosketch,30,2,bench,320,23,0,12002.314999999944,5,16,0
24,0112172_neurosketch,30,2,bench,320,24,0,12002.314999999944,5,16,0
25,0112172_neurosketch,30,2,bench,320,25,0,12002.314999999944,5,16,0
26,0112172_neurosketch,30,2,bench,320,26,0,12002.314999999944,5,16,0
27,0112172_neurosketch,30,2,bench,320,27,0,12002.314999999944,5,16,0
28,0112172_neurosketch,30,2,bench,320,28,0,12002.314999999944,5,16,0
29,0112172_neurosketch,30,2,bench,320,29,0,12002.314999999944,5,16,0
30,0112172_neurosketch,30,2,bench,320,30,0,12002.314999999944,5,16,0
31,0112172_neurosketch,30,2,bench,320,31,0,12002.314999999944,5,16,0
32,0112172_neurosketch,30,2,bench,320,32,0,12002.314999999944,5,16,0
33,0112172_neurosketch,30,2,bench,320,33,0,12002.314999999944,5,16,0
34,0112172_neurosketch,30,2,bench,320,34,0,12002.314999999944,5,16,0
35,0112172_neurosketch,30,2,bench,320,35,0,12002.314999999944,5,16,0
36,0112172_neurosketch,30,2,bench,320,36,0,12002.314999999944,5,16,0
37,0112172_neurosketch,30,2,bench,320,37,0,12002.314999999944,5,16,0
38,0112172_neurosketch,30,2,table,321,38,0,57513.189999999944,5,16,1
39,0112172_neurosketch,30,2,table,321,39,0,57513.189999999944,5,16,0
40,0112172_neurosketch,30,2,table,321,40,0,57513.189999999944,5,16,0
41,0112172_neurosketch,30,2,table,321,41,0,57513.189999999944,5,16,0
42,0112172_neurosketch,30,2,table,321,42,0,57513.189999999944,5,16,0
43,0112172_neurosketch,30,2,table,321,43,0,57513.189999999944,5,16,0
44,0112172_neurosketch,30,2,table,321,44,0,57513.189999999944,5,16,0
45,0112172_neurosketch,30,2,table,321,45,0,57513.189999999944,5,16,0
46,0112172_neurosketch,30,2,table,321,46,0,57513.189999999944,5,16,0
47,0112172_neurosketch,30,2,table,321,47,0,57513.189999999944,5,16,0
48,0112172_neurosketch,30,2,table,321,48,0,57513.189999999944,5,16,0
49,0112172_neurosketch,30,2,table,321,49,0,57513.189999999944,5,16,0
50,0112172_neurosketch,30,2,table,321,50,0,57513.189999999944,5,16,0
51,0112172_neurosketch,30,2,table,321,51,0,57513.189999999944,5,16,0
52,0112172_neurosketch,30,2,table,321,52,0,57513.189999999944,5,16,0
53,0112172_neurosketch,30,2,table,321,53,0,57513.189999999944,5,16,0
54,0112172_neurosketch,30,2,table,321,54,0,57513.189999999944,5,16,0
55,0112172_neurosketch,30,2,table,321,55,0,57513.189999999944,5,16,0
56,0112172_neurosketch,30,2,table,321,56,0,57513.189999999944,5,16,0
57,0112172_neurosketch,30,2,table,321,57,0,57513.189999999944,5,16,0
58,0112172_neurosketch,30,2,table,321,58,0,57513.189999999944,5,16,0
59,0112172_neurosketch,30,2,table,321,59,0,57513.189999999944,5,16,0
60,0112172_neurosketch,30,2,table,321,60,0,57513.189999999944,5,16,0
61,0112172_neurosketch,30,2,table,321,61,0,57513.189999999944,5,16,0
62,0112172_neurosketch,30,2,table,321,62,0,57513.189999999944,5,16,0
63,0112172_neurosketch,30,2,table,321,63,0,57513.189999999944,5,16,0
64,0112172_neurosketch,30,2,table,321,64,0,57513.189999999944,5,16,0
65,0112172_neurosketch,30,2,table,321,65,0,57513.189999999944,5,16,0
66,0112172_neurosketch,30,2,table,321,66,0,57513.189999999944,5,16,0
67,0112172_neurosketch,30,2,table,321,67,0,57513.189999999944,5,16,0
68,0112172_neurosketch,30,2,bench,322,68,0,102510.34499999974,5,14,1
